Acid gas,Temperature,HSAS,Velocity,Corrosion Rate,
0.207,168.5,4.3,4.3,3.966,
0.290,158.8,2.2,1.8,0.807,
0.276,165.2,3.2,3.2,1.733,
0.276,168.5,4.6,4.4,3.228,
0.435,155.5,2.0,2.0,1.040,
0.409,163.6,3.1,3.2,3.168,
0.406,153.9,4.6,4.2,4.624,
0.564,166.9,2.3,1.9,1.463,
0.541,160.4,3.3,3.2,3.102,
0.546,153.9,4.4,4.5,4.767,
0.639,165.2,2.2,1.8,1.590,
0.615,165.2,3.5,3.2,3.366,
0.646,155.5,4.7,4.1,5.143,
0.696,170.1,2.3,1.9,2.057,
0.753,155.5,3.4,2.9,3.258,
0.703,162.0,4.5,4.4,5.669,
0.828,162.0,2.1,2.0,2.295,
0.812,163.6,3.3,3.2,3.978,
0.787,170.1,4.5,4.4,5.691,
0.201,108.0,2.0,1.8,0.108,
0.212,110.2,3.4,3.0,0.190,
0.217,108.0,4.5,4.2,0.504,
0.278,111.2,2.2,1.9,0.198,
0.276,109.1,3.2,3.0,0.320,
0.276,113.4,4.4,4.5,0.814,
0.419,104.8,2.2,1.9,0.196,
0.427,106.9,3.4,3.0,0.307,
0.393,105.8,4.4,4.3,0.845,
0.574,106.9,2.2,1.9,0.317,
0.552,111.2,3.2,3.2,0.516,
0.552,111.2,4.4,4.4,0.911,
0.608,110.2,2.1,1.9,0.285,
0.590,104.8,3.2,2.9,0.658,
0.652,106.9,4.7,4.2,1.076,
0.703,111.2,2.2,1.8,0.307,
0.718,113.4,3.4,3.0,0.482,
0.753,108.0,4.4,4.5,1.118,
0.812,103.7,2.2,1.8,0.515,
0.828,106.9,3.3,2.9,0.984,
0.844,112.3,4.3,4.4,1.508,
0.202,111.7,2.3,1.9,0.199,
0.212,119.7,3.5,3.0,0.386,
0.201,117.4,4.4,4.2,0.794,
0.262,114.0,2.2,2.0,0.289,
0.276,118.6,3.4,3.0,0.684,
0.265,110.6,4.2,4.5,1.472,
0.393,119.7,2.1,2.0,0.338,
0.414,112.9,3.4,3.2,0.846,
0.435,115.1,4.3,4.3,1.430,
0.564,117.4,2.1,1.9,0.478,
0.558,116.3,3.3,3.2,0.979,
0.546,110.6,4.7,4.2,1.208,
0.634,115.1,2.1,1.9,0.651,
0.634,115.1,3.3,2.9,1.492,
0.639,111.7,4.0,4.3,1.999,
0.718,109.4,2.2,1.9,1.037,
0.696,119.7,3.5,2.9,1.303,
0.725,110.6,4.0,4.3,2.759,
0.844,111.7,2.3,1.9,0.988,
0.812,112.9,3.1,2.9,2.081,
0.803,115.1,4.4,4.3,2.659,
0.197,127.3,2.2,2.0,0.506,
0.205,129.8,3.5,2.9,0.906,
0.213,127.3,4.7,4.1,1.999,
0.274,126.0,2.0,2.0,0.702,
0.290,124.7,3.2,3.0,1.243,
0.268,128.5,4.4,4.3,1.932,
0.414,123.5,2.2,1.9,0.625,
0.430,132.3,3.4,2.9,1.455,
0.430,128.5,4.8,4.3,2.536,
0.574,124.7,2.2,1.8,1.000,
0.524,131.0,3.4,3.0,1.985,
0.530,119.7,4.2,4.3,2.549,
0.615,128.5,2.2,1.9,0.985,
0.596,128.5,3.0,3.2,1.830,
0.590,124.7,4.3,4.4,2.930,
0.725,124.7,2.2,1.8,1.317,
0.746,119.7,3.0,2.9,2.027,
0.696,122.2,4.1,4.4,3.411,
0.861,132.3,2.3,1.9,1.899,
0.828,127.3,3.5,2.9,2.527,
0.869,127.3,4.5,4.2,3.251,
0.205,146.9,2.2,2.0,1.014,
0.202,139.7,3.0,2.9,1.841,
0.202,149.8,4.1,4.3,2.766,
0.282,144.0,2.4,1.9,0.987,
0.262,144.0,3.2,2.9,1.628,
0.290,149.8,4.5,4.1,2.673,
0.393,138.2,2.0,1.9,1.435,
0.398,149.8,3.2,3.2,1.916,
0.393,148.3,4.4,4.3,3.285,
0.536,145.4,2.2,1.8,1.503,
0.524,136.8,3.1,2.9,2.958,
