x1,x2,x3,x4,y
0.3745,0.545,3.03,120.65,1.78
0.3395,2.0475,3.27,128.27,2.3876
0.336,4.12,3.27,139.7,3.8448
0.4095,0.5,2.82,135.89,1.7978
0.468,2.2725,2.76,125.73,3.135
0.4095,3.76,2.79,114.3,3.8481
0.528,0.53,3.21,135.89,2.5146
0.5225,2.4525,2.7,139.7,3.5244
0.5555,3.8,3.12,130.81,4.6614
0.6955,0.535,2.94,127,3.2635
0.715,2.205,3.3,133.35,3.2752
0.715,4.04,2.79,138.43,4.2501
0.665,0.515,3.21,133.35,3.2025
0.665,2.3175,3,135.89,3.6195
0.735,4.08,3,137.16,4.1587
0.138,0.47,2.7,129.36,1.5352
0.1425,2.3625,3.03,139.92,2.1518
0.1395,4.12,2.94,129.36,3.8862
0.255,0.54,3.27,129.36,1.91
0.24,2.115,3.18,121.44,2.4384
0.235,3.8,2.79,120.12,4.191
0.3185,0.505,3,128.04,2.1112
0.3185,2.43,3.24,135.96,3.429
0.371,3.72,2.79,120.12,4.113
0.495,0.47,2.73,130.68,2.4384
0.432,2.4525,3.24,118.8,3.5052
0.4635,3.68,3,141.24,4.8899
0.506,0.46,2.79,142.56,2.8365
0.517,2.0475,3.24,134.64,3.429
0.5445,4.28,2.7,142.56,5.5372
0.6825,0.54,3.3,128.04,4.1529
0.5915,2.025,3.3,134.64,3.5052
0.6175,4.04,3.09,118.8,4.9276
0.77,0.485,2.79,134.64,3.9243
0.63,2.1825,2.82,135.96,3.7719
0.679,3.8,2.73,145.2,5.8695
0.5775,0.51,3.3,105.56,1.8909
0.679,2.385,1.545,116,1.2065
0.3325,2.16,2.79,125.4,1.3832
0.165,2.34,3.03,125.28,2.7432
0.477,0.545,1.47,121.44,0.6208
0.539,2.34,1.365,132,0.7828
0.468,3.68,1.635,94.16,1.0404
0.585,0.5,3,120.12,2.7686
0.672,0.455,1.56,104.4,0.5049
0.644,0.545,2.85,95.68,2.7686
0.644,0.515,2.82,83.7,0.4692
0.539,0.53,3.3,97.76,2.0097
0.6565,0.47,1.425,113.36,0.3458
0.611,0.535,1.53,92.07,0.4845
0.3745,4.2,1.515,93.93,0.2325
0.3185,0.55,1.56,127,0.4066
0.1455,3.92,3.21,81.84,1.1856
0.2425,3.84,3.21,102.96,1.0098
0.2475,0.455,3.3,84.63,0.27
0.644,4.04,1.56,108.16,0.2575
0.5115,3.76,2.82,84.63,0.7372
0.255,0.45,1.35,134.62,0.2525
0.644,0.455,2.97,135.89,4.0386
0.5445,0.52,1.5,129.36,0.7068
0.1605,4.4,1.575,105.04,0.342
0.3465,2.34,3.18,94.86,0.08
0.3745,4.16,3.03,124.08,3.3245
0.6435,2.475,1.38,110.2,1.0374
0.27,2.16,1.41,84.63,0.255
0.672,0.465,2.88,94.64,1.4744
0.3325,0.525,2.97,101.37,0.7828
0.4725,0.465,1.455,118.32,1.1742
0.517,2.07,3.24,113.36,1.672
0.676,0.525,3.18,96.72,0.9996
0.477,0.505,3.18,130.81,1.14
0.2675,2.295,3.12,133.35,1.5656
0.517,2.25,1.455,118.8,1.5656
0.721,3.64,1.575,87.42,0.188
0.5885,2.2275,1.47,134.62,1.672
0.27,4.24,3.24,116,2.233
0.357,4,3.27,141.24,4.8899
0.644,4,3.3,87.42,1.5656
0.676,2.205,3.12,102.3,0.162
0.336,0.55,1.38,124.08,1.0488
0.27,0.545,1.365,145.2,0.3458
0.728,3.96,1.41,124.46,4.5243
0.63,2.43,1.38,118.32,1.0302
0.689,2.205,1.515,110.24,0.265
0.658,0.55,3.18,109.04,2.3876
0.4455,4,3.09,126.44,2.3876
0.1395,3.76,2.88,119.38,2.5654
0.4815,2.1825,2.7,89.28,1.596
0.4455,2.2275,2.88,139.7,3.2635
0.3815,2.43,2.85,104,1.596
0.15,2.4525,2.82,84.48,0.7676
0.665,3.72,2.73,93.28,0.418
0.225,3.92,3.27,129.54,3.9243
0.5775,3.96,3.21,98.58,2.1518
0.357,0.55,1.59,129.54,1.4896
0.539,2.1825,1.545,128.27,0.9486
0.2375,2.3625,2.97,101.37,0.141
0.4095,2.1375,2.76,137.16,3.2025
0.3185,2.25,2.91,109.04,1.5048
0.686,4.08,3.3,125.28,2.4961
0.1545,4.16,2.82,93,0.8366
0.162,0.455,3.06,125.4,1.444
0.721,3.92,2.7,120.64,1.9488
0.749,4.12,1.38,126.72,4.57
0.756,2.4075,1.635,120.65,2.4045
0.611,3.68,1.59,96.72,1.02
0.55,2.205,1.5,101.92,0.4066
0.686,0.495,3.27,96.72,1.444
0.357,4.04,1.65,143.88,4.1148
0.364,0.5,1.38,97.76,0.6916
0.156,2.385,1.5,85.56,0.182
0.343,2.3625,2.82,80.96,0.8056
0.371,3.88,3.27,101.92,0.8268
0.153,3.8,3.27,121.44,3.56
0.583,0.47,1.605,80.96,0.0545
0.693,3.8,1.53,85.36,1.0944
0.528,0.545,3.21,95.68,0.7068
0.528,0.535,3.27,110.24,1.52
0.4905,2.3175,1.56,125.4,2.54
0.336,0.515,2.85,93.6,2.54
0.3465,4.24,1.5,87.42,0.51
0.4905,2.3625,1.515,88.88,0.561
0.6955,3.92,2.76,99.84,1.672
0.707,0.545,3.27,95.92,1.5352
0.343,3.88,1.605,91.14,1.02
0.414,2.475,1.41,111.36,0.5304
0.1545,4.36,3.15,90.21,1.2312
0.561,2.205,1.635,141.24,1.1118
0.4275,3.76,2.76,93,0.8277
0.156,0.535,3.15,135.96,0.9384
0.572,0.485,1.545,95.79,0.184
0.4545,2.115,3.09,114.4,1.596
0.26,3.64,3.27,124.46,3.5433
0.5885,4.36,1.485,135.96,2.867
0.147,2.0925,2.97,96.8,0.2231
0.35,4.24,3.09,120.12,4.3036
0.4545,4.2,1.62,84.48,0.8056
0.689,4.08,1.44,98.58,0.399
0.3325,3.88,3.03,122.76,3.5052
0.658,4.12,3.3,87.42,1.0914
0.35,4.28,2.88,135.89,4.7752
0.679,4.4,1.455,108.16,0.2
0.225,0.545,3.18,141.24,2.1112
0.721,3.72,1.65,104,1.6568
0.35,3.68,1.38,128.04,3.204
0.5665,3.96,1.635,84.48,1.6112
0.7,0.47,1.56,119.48,1.596
0.637,0.47,1.455,92.4,0.0324
0.63,4.4,1.575,114.4,1.0404
0.371,0.51,1.365,109.2,0.4142
0.27,0.465,1.44,106.72,0.342
0.658,0.52,1.65,121.44,1.0812
0.141,4,2.79,109.2,0.7296
0.4185,3.84,2.76,95.04,0.672
0.144,2.295,2.85,93.28,0.7068
0.539,0.455,2.7,86.49,0.3876
0.468,2.3625,1.38,84.63,0.1391
0.605,2.07,1.41,113.68,1.0302
0.605,4.28,3.24,95.68,2.4045
0.1545,4.4,3,129.36,1.444
0.637,0.455,3.06,114.84,2.867
0.4455,2.2725,1.605,94.64,0.4104
0.4275,4.28,1.605,102.3,0.7144
0.2625,2.3175,3.06,132.08,1.4744
0.637,2.16,1.47,95.04,0.091
0.423,3.72,2.79,87.12,1.6264
0.225,4.36,2.85,120.64,2.3622
0.364,0.46,3.18,115.57,0.918
0.3605,2.025,1.365,125.73,2.806
0.432,3.76,1.53,99.84,1.0602
0.3815,2.385,2.82,119.38,1.0506
0.459,3.8,3.12,114.84,1.1118
0.5775,0.51,3,84.63,0.1365
0.637,2.115,3.12,114.84,2.3114
0.432,3.92,1.455,118.8,4.9356
0.156,3.84,1.38,116.84,4.7528
0.63,0.545,1.635,139.7,1.0602
0.5225,2.25,2.91,79.2,0.159
0.6955,4.28,1.455,91.52,0.979
0.1515,4.4,2.7,121.8,1.827
0.162,0.49,3.15,118.11,2.4961
0.364,0.54,1.455,116.84,0.3648
0.1365,4.24,2.97,111.36,3.233
0.763,4.28,2.97,118.11,4.6614
0.255,2.1375,1.44,87.12,0.0515
0.6435,4.2,1.515,118.32,1.8879
0.159,4.04,1.635,124.12,2.03
0.27,2.16,3.03,124.08,2.286
0.5995,2.025,1.545,85.56,0.202
0.156,3.68,1.545,104.4,2.4384
0.714,4.08,2.73,107.12,2.6924
0.5665,0.505,3,128.04,3.9243
0.539,2.16,1.41,141.24,2.7432
0.749,4.16,3.12,114.84,2.1297
0.3535,0.465,3.06,120.65,1.3832
0.676,3.92,3.3,98.58,0.5824
0.644,2.1375,3.03,135.96,2.8365
0.561,0.49,2.79,87.12,0.2093
0.385,0.5,3,128.04,1.0914
0.7,2.115,2.91,81.84,1.14
0.2325,0.53,1.41,87.12,0.096
0.3675,2.16,2.88,94.86,0.0752
0.159,2.16,1.365,121.92,0.4692
0.459,2.025,1.485,93,0.4028
0.686,2.475,1.425,101.37,0.105
0.165,2.475,1.365,99.51,0.099
0.6695,0.455,3.03,88,1.0374
0.2525,2.16,2.91,95.68,0.918
0.4365,2.385,2.79,93.28,0.7752
0.714,4.36,1.365,137.16,3.8976
0.6435,4.36,2.73,100.88,0.4998
0.3675,3.84,3.21,100.88,0.4066
0.486,2.1375,1.605,84.63,0.24
0.756,2.0475,1.38,137.28,2.286
0.528,2.205,1.395,110.2,1.071
0.539,3.6,1.425,120.64,1.5808
0.5225,0.545,3.03,130.81,2.413
0.5775,0.5,3.27,118.32,2.667
0.23,2.295,3.21,116,0.7068
0.343,2.025,1.515,125.73,0.51
0.7,2.1375,1.65,112.52,1.869
0.1545,2.43,1.395,95.92,0.0776
0.144,4.16,1.485,80.08,0.1326
0.5555,0.48,1.65,89.76,0.1425
0.225,3.92,1.59,118.11,5.7018
0.637,2.16,2.73,105.04,0.7068
0.5665,2.0925,1.56,93.28,0.0455
0.343,2.025,1.545,93.6,0.5253
0.742,4.16,1.62,135.96,4.8442
0.385,3.76,1.605,79.2,1.1514
0.1635,0.52,1.515,86.49,0.1183
0.4185,4.16,1.65,122.96,1.672
0.763,0.45,2.82,141.24,3.9243
0.459,2.4075,3,120.65,2.413
0.3815,2.115,2.73,118.32,2.29
0.77,2.0925,1.605,95.04,0.098
0.3535,0.53,1.575,100.88,0.5049
0.1635,2.2725,1.515,125.4,2.4638
0.24,3.96,3.15,130.81,3.4888
0.4455,0.515,1.62,126.44,1.4896
0.165,2.16,2.7,85.36,0.3914
0.235,4.4,2.97,109.2,1.368
0.651,0.46,1.38,128.04,0.5151
0.144,4.08,3.27,135.96,4.06
0.6175,0.51,3.27,101.37,0.2323
0.598,4.08,3.21,135.89,4.4496
0.1395,4,2.79,83.7,1.2426
0.637,4,3.24,96.8,1.5352
0.6955,2.115,3.15,124.12,3.0195
0.55,0.48,3.3,98.58,0.1545
0.5885,2.0475,1.545,104,0.51
0.5915,2.3625,1.635,100.44,0.0792
0.1455,0.46,2.91,143.88,2.0628
0.385,0.5,1.395,87.42,0.147
0.4815,4.2,1.395,88.35,0.4692
0.721,4.28,1.44,134.64,4.263
0.2275,3.6,3.12,85.36,0.6208
0.77,4,2.76,95.68,1.0716
0.742,2.1375,2.94,91.14,0.235
0.63,3.72,1.455,96.72,1.596
0.1425,2.1375,1.515,110.24,1.1016
0.6955,2.16,1.35,118.11,2.4961
0.693,0.525,2.82,96.8,0.3876
0.5995,3.96,1.605,94.86,0.459
0.2425,3.88,3.06,87.42,1.9894
0.585,2.34,1.545,125.4,2.3368
0.756,0.46,1.425,97.76,0.27
0.1635,4.2,2.91,92.4,1.0812
0.665,4.28,3.03,90.21,1.0944
0.432,4.2,1.455,138.43,3.429
0.5115,4.04,1.47,92.4,0.9894
0.5885,0.525,1.53,93.6,0.1926
0.336,0.51,3.15,89.28,0.3496
0.2275,0.515,1.5,93.6,0.9384
0.1605,4.04,1.47,118.11,3.6576
0.594,4,1.515,109.2,0.265
0.322,2.4525,2.76,95.92,0.3496
0.2675,0.53,1.485,141.24,0.608
0.721,4.36,2.76,124.08,4.6614
0.329,2.025,3.03,110.2,2.1315
0.749,3.8,1.605,138.6,3.5814
0.336,2.1825,3.18,121.92,1.0812
0.679,2.0925,1.35,112.52,2.413
0.329,0.505,1.35,127,0.418
0.707,3.92,2.7,125.28,2.3114
0.371,0.545,1.59,88,0.4104
0.2475,4.32,1.53,112.32,0.979
0.1575,3.92,3.3,93,0.5824
0.539,2.205,1.56,127.6,1.3335
0.162,0.535,1.44,123.19,0.5253
0.651,2.3625,1.575,94.86,0.235
0.378,2.205,3.18,101.37,0.1395
0.707,0.52,2.88,84.63,0.8056
0.3535,0.55,2.91,109.2,1.827
0.3675,2.07,1.425,143.88,1.7978
0.4365,2.43,3.18,113.68,3.6957
0.2425,0.495,3.27,97.76,1.4136
0.4455,0.48,2.73,93.93,0.2575
0.714,3.96,2.79,138.43,4.3872
0.378,2.4075,3.12,110.24,1.071
0.651,2.1375,3.18,113.68,3.6312
0.147,2.16,1.59,113.36,0.3686
0.322,3.92,2.79,129.54,4.7985
0.5005,2.115,3.12,108.16,0.3952
0.144,0.535,2.73,120.12,1.1628
0.1515,3.84,3.12,124.08,4.32
0.3185,2.3175,1.425,120.12,2.1721
0.141,0.55,3.15,95.68,0.4794
0.378,3.64,1.605,122.76,4.2224
0.6175,2.0925,3.12,104.4,1.0488
0.6435,0.51,3.06,135.89,3.2396
0.165,0.51,2.7,118.11,2.4503
0.153,4.12,2.7,125.4,2.9585
0.3255,2.205,2.76,109.2,0.3686
0.3465,3.92,1.575,97.76,0.117
0.162,2.25,1.41,128.04,0.4692
0.572,3.96,1.62,138.43,2.806
0.528,3.6,2.85,106.72,0.9588
0.637,0.5,3.06,84.48,0.418
0.144,2.16,1.65,137.16,2.9585
0.561,0.47,2.85,126.72,3.294
0.4905,2.2725,3.09,114.4,0.4028
0.1545,3.88,2.94,116,2.4503
0.611,0.53,1.65,79.2,0.216
0.6175,4.4,2.79,114.84,0.9384
0.4185,2.1825,2.7,107.88,3.8862
0.2425,0.48,1.44,124.08,1.2827
0.2725,0.48,3.3,121.92,1.1557
0.624,0.48,3.24,89.76,0.235
0.583,0.47,1.605,95.79,0.0744
0.1515,4.36,3.3,127.6,3.6195
0.4725,4.12,2.97,132,5.2832
0.4545,0.53,3.12,112.32,1.444
0.1605,0.45,3.24,100.44,0.135
0.15,2.4525,1.485,95.04,0.245
0.5445,2.1825,3.3,88,0.2425
0.371,2.205,1.47,97.65,0.102
0.378,2.16,1.365,135.89,2.5146
0.689,3.92,1.635,102.96,0.214
0.7085,2.2725,1.395,97.76,0.1746
0.4545,2.07,1.53,116.84,2.6162
0.322,3.84,3.15,90.64,2.233
0.4725,2.4075,3.27,125.28,3.5814
0.611,4.12,1.5,95.79,0.4066
0.6825,4,2.91,104.4,3.294
0.4185,4.12,3.27,93,2.233
0.3815,4.12,1.455,132.08,4.57
0.7085,0.475,3.03,137.16,3.8481
0.265,4.04,1.605,93.28,0.418
0.3185,0.545,1.65,128.04,0.38
0.2475,2.4525,1.485,122.96,2.3622
0.637,0.455,1.425,109.04,1.596
0.3675,2.34,1.395,135.96,2.794
0.4275,4.2,1.56,94.86,0.3914
0.4725,4.08,1.41,114.4,0.2525
0.3465,4.08,1.5,106.08,0.1235
0.405,3.84,1.41,92.4,1.5352
0.144,2.1375,1.365,114.3,0.5151
0.65,4.08,1.425,112.52,2.3622
0.432,0.54,3.3,141.24,1.1514
0.679,0.485,3.27,88.88,0.162
0.5775,2.475,1.35,107.12,1.1016
0.35,2.475,1.47,129.36,0.7144
0.585,0.485,3.18,95.92,0.7524
0.676,3.76,1.35,124.08,4.0767
0.6565,0.45,3.21,145.2,3.5433
0.343,0.53,1.455,126.44,1.1684
0.637,4.4,1.635,93,0.9996
0.2525,2.0925,2.88,111.36,2.3816
0.6435,2.205,3,79.2,0.207
0.763,4.28,1.515,95.04,0.3572
0.459,2.25,3.27,89.76,0.561
0.6695,0.505,1.62,99.84,0.1378
0.3255,3.84,1.635,109.04,2.4384
0.275,4.28,1.485,104.4,1.52
0.15,0.46,2.7,91.52,0.285
0.594,3.92,3.21,100.44,0.8208
0.6825,2.0925,1.47,112.52,1.1938
0.2575,0.485,2.85,102.3,0.26
0.5995,0.51,1.545,130.68,1.197
0.27,2.1375,2.73,105.04,0.798
0.728,0.52,1.635,114.84,0.6592
0.25,2.205,3.03,88.35,1.197
0.405,3.84,1.59,135.89,5.2832
0.322,2.4525,1.455,87.42,0.055
0.715,3.76,2.85,139.7,4.2044
0.156,0.525,3.06,94.64,2.1526
0.2425,3.88,1.44,102.96,0.3952
0.405,2.2725,1.44,122.96,1.1684
0.4725,3.76,2.91,125.28,2.4274
0.357,4.4,3.27,100.88,0.7254
0.1635,0.485,3.03,107.88,3.6195
0.742,2.1375,2.7,139.92,4.191
0.676,2.1375,1.515,102.3,0.109
0.1455,0.485,3.21,125.4,3.5052
0.495,2.34,1.485,145.2,1.2319
0.583,3.96,3.03,107.88,3.5814
0.4095,2.4525,2.94,126.44,3.429
0.1425,0.51,1.635,124.08,0.2675
0.721,4.36,3.12,124.08,2.7755
0.55,2.115,1.65,119.48,2.4274
0.45,0.53,2.79,82.72,0.318
0.2525,4.24,1.53,118.11,1.4744
0.26,3.92,2.79,89.76,1.1628
0.135,0.46,3,91.14,1.0716
0.3675,0.455,3.3,84.48,0.235
0.35,2.0475,3.03,110.2,2.1068
0.2675,4.08,1.59,138.43,3.3464
0.165,0.54,3.06,110.24,2.7686
0.162,3.96,2.82,106.08,2.2671
0.517,0.53,1.53,142.56,0.235
0.432,2.2275,1.635,143.88,3.0195
0.364,4.08,1.41,84.48,1.0608
0.385,4,3.09,96.72,1.4592
0.65,2.25,1.485,99.51,0.194
0.4095,4.04,1.515,89.76,0.225
0.1605,0.475,1.41,132.08,1.1938
0.5995,3.96,1.44,93.6,0.22
0.4815,2.07,1.59,114.4,0.245
0.6825,2.0475,2.79,116,2.4892
0.3185,3.84,3.15,142.56,4.4329
0.6045,2.34,1.575,102.96,0.399
0.3185,2.295,1.47,82.72,0.117
0.6565,2.1375,3.3,126.44,4.191
0.3815,0.485,1.47,80.08,0.107
0.235,2.16,2.94,139.7,1.7978
0.3745,2.07,1.44,95.68,0.1764
0.598,4.2,1.635,101.92,1.1172
0.3465,3.64,3.27,143.88,1.8879
0.594,2.1375,2.76,114.3,2.101
0.371,2.115,3,97.65,1.1742
0.329,0.55,2.91,145.2,0.7144
0.5445,3.96,2.94,132,5.4864
0.77,0.47,1.47,110.2,1.4592
0.611,0.525,1.44,107.12,0.4998
0.162,4.28,1.545,129.54,1.9285
0.141,0.52,1.35,123.19,0.5559
0.611,3.68,1.425,89.76,0.3952
0.742,0.52,3.24,95.68,1.9402
0.162,2.385,2.79,100.88,2.0097
0.65,2.34,1.38,98.8,0.4845
0.672,0.53,1.635,95.92,0.1854
0.637,0.48,1.545,116.84,0.418
0.364,2.25,1.59,102.3,0.1485
0.7085,2.3175,1.635,91.14,0.1515
0.5445,2.3175,1.455,93,0.4947
